L_0,L_1,L_2,L_3,M_0,,
,,Oil testing centrifuge,,,,
,,Universal centrifuge,,,,
,Liquid Handling (348),,,,,
,Mass Spectrometry (168),,,,,
,Microarray Equipment (42),,,,,
,Neuroscience Equipment (260),,,,,
,PCR Equipment (1074),,,,,
,Spectrophotometry (309),,,,,
,Spectroscopy (522),,,,,
,Stages,,,,,
,Accessories,,,,,
,,"""MB Instruments"",",,"""MB Instruments"",",,
,,"""MB Sealing Consumables"",",,"""MB Sealing Consumables"",",,
,,"""Deep Well & Elisa Plates"",",,"""Deep Well & Elisa Plates"",",,
,,"""Petri-Plates"",",,"""Petri-Plates"",",,
,,"""Tubes /Tube Stoppers /Capillary"",",,"""Tubes /Tube Stoppers /Capillary""""Molecular Biology/Molecular Biology(MB) Lab Supplies/MB Lab Consumables/MB Tubes/PCR",,"""Molecular Biology "",/""Molecular Biology(MB) Lab Supplies "",/""MB Lab Consumables "",/""MB Tubes "",/""PCR"","
,,"""Centrifuge Tubes"",",,"""Centrifuge Tubes"",",,
,,"""Bottles /Caps /Jars /Gloves /Freeze Tags"",",,"""Bottles /Caps /Jars /Gloves /Freeze Tags"",",,
,,"""Loops /Swabs"",",,"""Loops /Swabs"",",,
,,"""Sealing Tapes /Label"",",,"""Sealing Tapes /Label"",",,
,,"""Bags /Boxes /Racks/Stand"",",,"""Bags /Boxes /Racks/Stand"",",,
,,"""Clinical Sample Collection"",",,"""Clinical Sample Collection"",",,
,,"""Glass Slide /Cover Glass & Slip"",",,"""Glass Slide /Cover Glass & Slip"",",,
,,"""Embedding Cassettes & Spare"",",,"""Embedding Cassettes & Spare"",",,
,,"""Blood Collection Vial"",",,"""Blood Collection Vial"",",,
,,"""Wipes /Spatula /Needles /Markers"",",,"""Wipes /Spatula /Needles /Markers"",",,
,,"""Magnetic Rotors & Bars"",",,"""Magnetic Rotors & Bars"",",,
,,"""Sterilization Indicators"",",,"""Sterilization Indicators"",",,
,,"""Stainless Steel Labware"",",,"""Stainless Steel Labware"";""Surgical Products""",,
,,"""Other Lab Accessories"",",,"""Other Lab Accessories"",",,
,,"""Vial /Droppers /Acrylic Comb"",",,"""Vial /Droppers /Acrylic Comb"",",,
,,"""Sterility Testing"",",,"""Sterility Testing"",",,
,,"""Pipettes/Tips"",",,"""Pipettes/Tips"";""Microlitre Pipettes "";""ВµPetв„ў Autoclavable Micropipette "";""Universal Tips "";""Micro Tips for Micropipettes"",",,
,,"""PH Paper & Refills"",",,"""PH Paper & Refills"",",,
,,"""Laboratory Kits/Pack"",",,"""Laboratory Kits/Pack"",",,
,,"""Anaerobic System & Accessories""",,"""Anaerobic System & Accessories""",,
,,"""Cell Culture Consumables"",",,"""Cell Culture Consumables"",",,
,,Scale and Balance Accessories,,Scale and Balance Accessories,,
,,Calibration Weights,,Calibration Weights,,
,,Weighing Table,,Weighing Table,,
,,Weight Indicators,,Weight Indicators,,
Molecular Biology,,,,,,
,Expression Analysis (2168),,,,,
,CRISPR Products (46),,,,,
,Nucleic Acid Detection (2500),,,,,
,Nucleic Acid Analysis (552),,,,,
,Genotyping Technology (178),,,,,
,DNA Sequencing (333),,,,,
,Next Generation Sequencing / Whole Genome Sequencing (168),,,,,
,Nucleic Acid Kits (2330),,,,,
,,"""DNA Isolation Kits"",",,"""DNA Isolation Kits"",",,
,,"""RNA Isolation Kits"",",,"""RNA Isolation Kits"",",,
,,"""Reagents for DNA/RNA Isolation"",",,"""Reagents for DNA/RNA Isolation"",",,
,Nucleic Acid Modification (302),,,,,
,Quantitative PCR (qPCR) (1721),,,,,
,RT-PCR (Reverse Transcriptase PCR) (204),,,,,
,Molecular Biology Applications (2172),,,,,
,Molecular Biology Reagents (295),,,,,
,Molecular Biology Services (294),,,,,
,Molecular Biology Software (16),,,,,
,Research Animals & Accessories (217),,,,,
,In Vitro Transcription / Translation (176),,,,,
,Transfection (58),,,"""Transfection Platform "",",,
,Arrays (131),,,,,
,DNA,,,,,
,Chemicals,,,"""Molecular Biology Chemicals"",",,
,,"""Dyes, Indicators and Stains"",",,"""Stains"";""Stains and Staining Kits "";""Chemicals /Dyes, Indicators and Stains"";""Plant Tissue Culture /Plant Culture Tested Chemicals /Dyes, Indicators and Stains"",",,
,,"""Steroids/Sterols"",",,"""Steroids/Sterols"",",,
,,"""Inorganic"",",,"""Inorganic "",",,
,,"""Organic"",",,"""Organic"";""Agriculture Products"",",,
,,"""General Chemicals"",",,"""General Chemicals"",",,
,,"""Sugars and Carbohydrates"",",,"""Sugars and Carbohydrates"",",,
,,"""Carbohydrates (carbon source)"",",,"""Carbohydrates (carbon source)"",",,
,,"""Plant Growth Regulators"",",,"""Plant Growth Regulators"",",,
,,"""Gelling Agent"",",,"""Gelling Agent"",",,
,,"""Polymers"",",,"""Polymers"",",,
,,"""Other Chemicals"",",,"""Other Chemicals"";""Chromogenic Substrates""",,
,,"""Acid and solvents"",",,"""Acid and solvents "";""Organic Acids""",,
,,Teaching Kits,,"""Animal Cell Culture/HiPerВ® Teaching Kits "";""Molecular Biology/HiPerв„ў Teaching Kits""",,
,Disinfection,,,"Professional Disinfectants;""Cleaning Solutions"";""Disinfectants""",,
Molecular Diagnostics (2013),,,,,,
,"""InstaDNAв„ў Cards & Kits"",",,,"""InstaDNAв„ў Cards & Kits"",",,
,"""Food Pathogen Detection Combo Kits"",",,,"""Food Pathogen Detection Combo Kits"",",,
,"""Palm PCR Kits"",",,,"""Palm PCR Kits"",",,
,"""Molecular Diagnostics"",",,,"""Molecular Diagnostics "",",,
,"""Related Reagents"",",,,"""Related Reagents"",",,
,"""Mitotic Stimulators"",",,,"""Mitotic Stimulators"",",,
,"""Mitotic Inhibitors"",",,,"""Mitotic Inhibitors"",",,
,"""Hybridoma-Tested DMSO"",",,,"""Hybridoma-Tested DMSO"",",,
,Histology Equipment (77),,,,,
,Immunohistochemistry Kits,,,,,
,Next Generation Sequencing / Whole Genome Sequencing (168),,,,,
,Quantitative PCR (qPCR) (1721),,,,,
,"""Semi-Quantitative PCR Kits "",",,,"""Semi-Quantitative PCR Kits "",",,
,Digital PCR Systems (dPCR) (8),,,,,
,Infectious Agents (46),,,,,
Nucleic Acid Electrophoresis,,,,,,
,DNA / RNA Standards (17),,,"""Protein Ladders"",",,
,Gel Documentation (58),,,,,
,Gel Purification Kits / DNA Recovery Kits (25),,,,,
,Molecular Biology Buffers and reagents,,,"""Buffers and Reagents "",",,
,Nucleic Acid Electrophoresis Equipment (452),,,,,
,Nucleic Acid Electrophoresis Gels (83),,,,,
,Nucleic Acid Electrophoresis Reagents (268),,,,,
,Nucleic Acid Stains (40),,,,,
,PCR / Electrophoresis Based Genotyping (1,,,,,
Nucleic Acid Purification (796),,,,,,
,Nucleic Acid Purification Search Tool (14),,,,,
,DNA Purification (554),,,,,
,RNA Isolation/Purification (151),,,,,
,Automated DNA/RNA/Protein Purification Systems (63),,,,,
,Nucleic Acid Purification Accessory Reagents (50),,,,,
,Automated Nucleic Acid Purification (194),,,,,
,"Vacuum Systems, Pumps & Manifolds (",,,,,
Polymerase Chain Reaction (PCR),,,,,,
,PCR Equipment (1074),,,,,
,PCR Machines (45),,,,,
,Real-Time Thermal Cyclers (44),,,,,
,Digital PCR Systems (dPCR) (8),,,,,
,PCR Kits (546),,,"""Real-Time PCR Kits "",",,
,PCR Thermocyclers (129),,,"""PCR Thermal Cyclers"",",,
,Quantitative PCR (qPCR) (1721),,,,,
,PCR reagents (953),,,"""PCR and RT-PCR Reagents"",",,
,PCR Optimization (90),,,,,
,PCR Primers,,,,,
,PCR Software (1),,,,,
,RT-PCR (Reverse Transcriptase PCR),,,,,
Protein Biochemistry,,,,"""Competent Cells"",",,
,Automated Protein Crystallization (2),,,"""Protein Purification & Crystallography"",",,
,Biochemistry Reagents (722),,,"""Protein Electrophoresis"",",,
,Biochemistry Services (90),,,,,
,Biomolecules (806),,,,,
,Chemicals and Reagents,,,,,
,Chromatography (875),,,,,
,Drug Screening (16),,,,,
,Enzymes,,,"""Enzymes"";""Restriction Enzymes"";""Modifying Enzymes"",",,
,Peptide Synthesis (2744),,,,,
,Protein Analysis / Protein Characterization (1008),,,,,
,Protein Detection (1802),,,,,
,,ELISA,,,,
,,,ELISA Reagents,"""ELISA Reagents"";""Protein Estimation Reagents / Kits"",",,
,Protein Expression (262),,,,,
,Protein Modification (166),,,,,
,Protein Purification (993),,,,,
,,"""Protein Purification & Crystallography"",",,"""Protein Purification & Crystallography"",",,
,Proteomics Tools (933),,,,,
,Western Blotting (1219),,,,,
,,"""Western Blotting Reagents"",",,"""Western Blotting Reagents"",",,
RNAi Technology,,,,,,
,miRNA Analysis (18),,,,,
,RNA (2),,,,,
,RNAi,,,,,
,RNAi Services / miRNA Services / shRNA Services (17),,,,,
,shRNA,,,,,
,siRNA,,,,,
,siRNA Kits and Reagents (501),,,,,
Services,,,,,,
,Biochemistry Services (90),,,,,
,Cell Biology Services (302),,,,,
,Immunology Services (205),,,,,
,Molecular Biology Services (294),,,,,
,Other Services (227),,,,,
,Disease models/DS,,,,,
,RNAi Services / miRNA Services / shRNA Services (17),,,,,
,Gene Editing Services (32),,,,,
,Services,,,,,
Software,,,,,,
,Software,,,,,
,Molecular Biology Software (16),,,,,
,Laboratory Management Software (70),,,,,
,Experimental Analysis Software (71),,,,,
,Software for Bioimaging (Bio-Imaging Software) (44),,,,,
,Software Downloads And Free Trials (,,,,,
,PCR Software (1),,,,,
Translational Research,,,,,,
,Molecular Imaging / In Vivo Imaging (9),,,,,
,Proteomics Tools (933),,,,,
,Immunoassays (100),,,,,
,Proteomic Analysis/Research Services (51),,,,,
,Preclinical Services (14),,,,,
,Stem Cell Culture (122),,,,,
,siRNA,,,,,
